Model,Test Accuracy,Test Precision,Test Recall,Test F1-Score,AUC Score,Training Time (s),Trainable Params,Epochs Run
CNN,0.9564,0.9776,0.9446,0.9608,0.9939,3571.6,13234945,18
Transfer MobileNetV2,0.9976,0.9991,0.9965,0.9978,1.0,4840.9,17583233,28
